Local time,Open,High,Low,Close,Volume
12.01.2023 02:00:00.000 GMT-0000,11390.657,11394.299,11382.329,11385.049,2742058.04
12.01.2023 03:00:00.000 GMT-0000,11385.297,11392.789,11384.159,11389.819,2649074.08
12.01.2023 04:00:00.000 GMT-0000,11390.049,11411.997,11389.529,11407.389,1819457.05
12.01.2023 05:00:00.000 GMT-0000,11407.159,11409.289,11401.689,11402.609,2602644.92
12.01.2023 06:00:00.000 GMT-0000,11402.547,11406.497,11389.239,11389.249,2406977.89
12.01.2023 07:00:00.000 GMT-0000,11389.237,11392.107,11371.209,11384.919,3308593.99
12.01.2023 08:00:00.000 GMT-0000,11385.549,11393.589,11372.109,11391.407,4477962.02
12.01.2023 09:00:00.000 GMT-0000,11391.189,11408.497,11386.119,11403.329,3924392.94
12.01.2023 10:00:00.000 GMT-0000,11403.529,11403.599,11369.649,11383.639,3803026.91
12.01.2023 11:00:00.000 GMT-0000,11383.667,11393.399,11379.329,11384.069,3202712.06
12.01.2023 12:00:00.000 GMT-0000,11385.579,11416.789,11382.559,11416.329,3839919.09
12.01.2023 13:00:00.000 GMT-0000,11416.609,11481.599,11215.369,11466.139,14897871.02
12.01.2023 14:00:00.000 GMT-0000,11466.199,11499.029,11235.829,11282.069,21472019.2
12.01.2023 15:00:00.000 GMT-0000,11282.109,11437.289,11280.389,11357.049,22189880.37
12.01.2023 16:00:00.000 GMT-0000,11357.037,11423.849,11315.749,11417.019,19838859.56
12.01.2023 17:00:00.000 GMT-0000,11416.519,11478.889,11401.659,11464.069,15472459.79
12.01.2023 18:00:00.000 GMT-0000,11463.399,11498.209,11380.009,11492.569,16329219.82
12.01.2023 19:00:00.000 GMT-0000,11492.759,11502.159,11444.599,11463.229,15579549.79
12.01.2023 20:00:00.000 GMT-0000,11463.229,11465.539,11411.219,11459.589,16092189.79
12.01.2023 21:00:00.000 GMT-0000,11459.379,11465.679,11447.279,11458.269,1931100.01
12.01.2023 22:00:00.000 GMT-0000,11458.269,11458.269,11458.269,11458.269,0
12.01.2023 23:00:00.000 GMT-0000,11450.809,11453.299,11440.729,11450.369,2606120.11
13.01.2023 00:00:00.000 GMT-0000,11450.919,11462.399,11444.119,11446.099,4861790.18
13.01.2023 01:00:00.000 GMT-0000,11446.089,11453.889,11413.349,11421.189,6721710.21
13.01.2023 02:00:00.000 GMT-0000,11421.299,11421.299,11397.659,11414.369,5128739.83
13.01.2023 03:00:00.000 GMT-0000,11414.599,11423.399,11404.539,11411.909,3706239.94
13.01.2023 04:00:00.000 GMT-0000,11411.877,11418.407,11408.017,11417.539,2502959.97
13.01.2023 05:00:00.000 GMT-0000,11417.779,11420.119,11408.749,11417.589,3465840.1
13.01.2023 06:00:00.000 GMT-0000,11418.569,11436.499,11415.259,11433.489,3730439.9
13.01.2023 07:00:00.000 GMT-0000,11433.359,11451.799,11426.829,11451.639,4774879.93
13.01.2023 08:00:00.000 GMT-0000,11452.389,11454.299,11426.709,11451.229,8593919.75
13.01.2023 09:00:00.000 GMT-0000,11450.899,11454.109,11420.799,11445.309,6738080.02
13.01.2023 10:00:00.000 GMT-0000,11445.359,11460.109,11434.389,11440.119,5858399.87
13.01.2023 11:00:00.000 GMT-0000,11439.669,11440.709,11386.179,11400.119,7814909.94
13.01.2023 12:00:00.000 GMT-0000,11400.369,11409.119,11331.609,11339.049,9149239.54
13.01.2023 13:00:00.000 GMT-0000,11339.679,11350.099,11321.009,11331.019,10074919.7
13.01.2023 14:00:00.000 GMT-0000,11331.619,11404.609,11316.159,11384.789,15878689.77
13.01.2023 15:00:00.000 GMT-0000,11384.409,11470.069,11369.339,11449.319,18929609.3
13.01.2023 16:00:00.000 GMT-0000,11448.849,11457.199,11385.729,11416.269,16621240.62
13.01.2023 17:00:00.000 GMT-0000,11416.519,11460.289,11412.369,11456.859,11898180.01
13.01.2023 18:00:00.000 GMT-0000,11457.139,11500.069,11437.029,11492.589,10479940.41
13.01.2023 19:00:00.000 GMT-0000,11492.899,11510.159,11480.549,11497.269,9912199.97
13.01.2023 20:00:00.000 GMT-0000,11497.999,11551.299,11494.709,11539.639,10827899.93
13.01.2023 21:00:00.000 GMT-0000,11539.869,11542.609,11518.519,11523.029,1576220.04
13.01.2023 22:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
13.01.2023 23:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 00:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 01:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 02:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 03:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 04:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 05:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 06:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 07:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 08:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 09:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 10:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 11:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 12:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 13:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
